nes	nes,famicom,fc	nes-,hvc-
snes	snes,super nintendo,sfc	sns-,shvc-
n64	n64,nintendo 64	nus-
gb	gb,gameboy,game boy	dmg-
gbc	gbc,gameboy color	cgb-
gba	gba,gameboy advance	agb-
nds	nds,ds,nintendo ds	ntr-,twl-
3ds	3ds,nintendo 3ds	ctr-,ktr-
vb	vb,virtual boy	vua-
pokemini	pokemon mini,pokemini	min-
switch	switch,nsw,nx	hac-,la-hac
gc	gc,gamecube,gcn	dl-dol
wii	wii	rvl-
wiiu	wiiu,wii u	wup-
psx	ps1,psx,playstation	slus-0,sles-0,scus-9,sces-0,slps-0,slps-1
ps2	ps2,playstation2,playstation 2	slus-2,sles-5,scus-97,sces-5,slpm
ps3	ps3,playstation 3	blus,bles,bces,bcus,bcjs,bljs
ps4	ps4,playstation 4	cusa,pljs,pljm
psp	psp	ulus,ules,ucus,uces,npjh,npuh
psvita	vita,psvita,ps vita	pcsb,pcse,pcsg,vcjs
sg1000	sg1000,sg-1000	
mastersystem	sms,master system	mk-,50-,70-,90-
megadrive	genesis,megadrive,md	mk-,t-
sega32x	32x,sega 32x	mk-,t-
segacd	segacd,sega cd,mega cd,mcd	mk-,t-
saturn	saturn	mk-,t-,gs-,hdr-
dreamcast	dc,dreamcast	t-,mk-,hdr-
gamegear	gg,game gear	t-,g-
xbox	xbox,xbx	
xbox360	x360,xbox360,xbox 360	
atari2600	a2600,atari 2600,2600	cx26
atari5200	a5200,atari 5200,5200	cx52
atari7800	a7800,atari 7800,7800	cx78
atarilynx	lynx,atari lynx	pa
atarijaguar	jag,jaguar,atari jaguar	j9
tg16	pce,pc engine,turbografx,tg16	br,tj
tg-cd	pcecd,pc engine cd,turbografx cd,tgcd	acd,nxcd
neogeo	neogeo,neo geo,aes,mvs	ngh-
ngp	ngp,ngpc,neo geo pocket	neop-
3do	3do	fz-
wonderswan	ws,wsc,wonderswan	swj-
intellivision	intv,intellivision	
colecovision	coleco,colecovision	
vectrex	vec,vectrex	
amiga	amiga,commodore amiga	
c64	c64,commodore 64	
zxspectrum	zxs,zx spectrum	
msx	msx	
amstradcpc	cpc,amstrad cpc	
apple2	apple2,apple ii
